,linear_predicted_evictions,month_year,zip_code
0,7.75433313546,2017-10-01,94102
1,8.01145822157,2017-10-01,94103
2,3.75966515243,2017-10-01,94104
3,2.44679818601,2017-10-01,94105
4,3.56238306421,2017-10-01,94107
5,3.56496577283,2017-10-01,94108
6,10.3402901826,2017-10-01,94109
7,14.7094688136,2017-10-01,94110
8,2.3137768786,2017-10-01,94111
9,10.3931809323,2017-10-01,94112
10,8.53973938837,2017-10-01,94114
11,5.37187883242,2017-10-01,94115
12,4.76991618168,2017-10-01,94116
13,9.39135581006,2017-10-01,94117
14,6.29255585503,2017-10-01,94118
15,6.39174891058,2017-10-01,94121
16,8.25983283233,2017-10-01,94122
17,4.80063327824,2017-10-01,94123
18,5.63464955394,2017-10-01,94124
19,2.57582918858,2017-10-01,94127
20,2.63074258463,2017-10-01,94129
21,2.99917719655,2017-10-01,94130
22,4.40761585792,2017-10-01,94131
23,7.60719171663,2017-10-01,94132
24,5.94711011409,2017-10-01,94133
25,4.80076160346,2017-10-01,94134
26,2.17807722007,2017-10-01,94158
27,2.89234804797,2017-10-01,Unknown_ZIP
28,7.75950581348,2017-11-01,94102
29,8.46461525194,2017-11-01,94103
30,3.40584468336,2017-11-01,94104
31,2.61085438892,2017-11-01,94105
32,3.25173614178,2017-11-01,94107
33,3.42207570206,2017-11-01,94108
34,9.80303455841,2017-11-01,94109
35,14.8881092958,2017-11-01,94110
36,2.45555098961,2017-11-01,94111
37,9.9392923777,2017-11-01,94112
38,7.48488029034,2017-11-01,94114
39,5.66562020086,2017-11-01,94115
40,4.59792273951,2017-11-01,94116
41,9.25974885299,2017-11-01,94117
42,6.30969856407,2017-11-01,94118
43,6.32130522086,2017-11-01,94121
44,7.94248612474,2017-11-01,94122
45,4.96509964604,2017-11-01,94123
46,5.59385012476,2017-11-01,94124
47,2.6311200273,2017-11-01,94127
48,2.7920371061,2017-11-01,94129
49,3.15213200916,2017-11-01,94130
50,4.49515931507,2017-11-01,94131
51,7.58003737778,2017-11-01,94132
52,5.91441092784,2017-11-01,94133
53,4.75400007597,2017-11-01,94134
54,2.35231799547,2017-11-01,94158
55,3.02811198479,2017-11-01,Unknown_ZIP
56,7.56035322705,2017-12-01,94103
57,3.61372976403,2017-12-01,94104
58,2.6276551507,2017-12-01,94105
59,3.09729674171,2017-12-01,94107
60,3.28449984288,2017-12-01,94108
61,9.69238964518,2017-12-01,94109
62,14.3818150089,2017-12-01,94110
63,2.74302170016,2017-12-01,94111
64,9.91679628201,2017-12-01,94112
65,7.63485386782,2017-12-01,94114
66,5.60443101385,2017-12-01,94115
67,4.48555506212,2017-12-01,94116
68,9.15659038914,2017-12-01,94117
69,5.97649044274,2017-12-01,94118
70,6.26978921042,2017-12-01,94121
71,8.17037726611,2017-12-01,94122
72,4.98576065422,2017-12-01,94123
73,5.56882756848,2017-12-01,94124
74,2.57892187173,2017-12-01,94127
75,2.7946728703,2017-12-01,94129
76,3.16107610951,2017-12-01,94130
77,4.31804893397,2017-12-01,94131
78,6.72359000605,2017-12-01,94132
79,5.54122881187,2017-12-01,94133
80,4.67819014306,2017-12-01,94134
81,2.35578351655,2017-12-01,94158
82,3.05334445488,2017-12-01,Unknown_ZIP
